id,company,campaign_type,target_audience,duration,channel_used,conversion_rate,acquisition_cost,roi,location,language,clicks,impressions,engagement_score,customer_segment,date,engagement_rate
1,Innovate Industries,Email,Men 18-24,30 Days,Google Ads,0.04,"$16,174.00 ",6.29,Chicago,Spanish,506,1922,6,Health & Wellness,1/1/2021,26.3267
2,Nexgen Systems,Email,Women 35-44,60 Days,Google Ads,0.12,"$11,566.00 ",5.61,New York,German,116,7523,7,Fashionistas,1/2/2021,1.5419
3,Alpha Innovations,Influencer,Men 25-34,30 Days,Youtube,0.07,"$10,200.00 ",7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,1/3/2021,7.5864
4,Datatech Solutions,Display,All Ages,60 Days,Youtube,0.11,"$12,724.00 ",5.55,Miami,Mandarin,217,1820,7,Health & Wellness,1/4/2021,11.9231
5,Nexgen Systems,Email,Men 25-34,15 Days,Youtube,0.05,"$16,452.00 ",6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,1/5/2021,9.0217
6,Datatech Solutions,Display,All Ages,15 Days,Instagram,0.07,"$9,716.00 ",4.36,New York,German,100,1643,1,Foodies,1/6/2021,6.0864
7,Nexgen Systems,Email,Women 35-44,60 Days,Website,0.13,"$11,067.00 ",2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,1/7/2021,9.3382
8,Datatech Solutions,Search,Men 18-24,45 Days,Google Ads,0.08,"$13,280.00 ",5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,1/8/2021,7.945
9,Alpha Innovations,Social Media,Women 35-44,15 Days,Facebook,0.09,"$18,066.00 ",6.73,Chicago,German,861,1754,6,Tech Enthusiasts,1/9/2021,49.0878
10,Techcorp,Email,Women 35-44,15 Days,Instagram,0.09,"$13,766.00 ",3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,1/10/2021,16.6494
11,Nexgen Systems,Display,Men 25-34,45 Days,Email,0.12,"$8,590.00 ",3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,1/11/2021,4.8431
12,Innovate Industries,Influencer,Men 25-34,60 Days,Google Ads,0.05,"$17,502.00 ",3.59,Los Angeles,Mandarin,659,8948,1,Foodies,1/12/2021,7.3648
13,Techcorp,Social Media,Men 25-34,60 Days,Facebook,0.09,"$17,189.00 ",4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,1/13/2021,7.6783
14,Techcorp,Email,Men 25-34,45 Days,Instagram,0.14,"$9,975.00 ",7.06,New York,German,994,2201,4,Health & Wellness,1/14/2021,45.1613
15,Techcorp,Display,All Ages,45 Days,Website,0.04,"$11,346.00 ",5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,1/15/2021,5.6907
16,Innovate Industries,Social Media,Women 35-44,60 Days,Youtube,0.11,"$9,407.00 ",2.91,New York,German,299,1512,5,Health & Wellness,1/16/2021,19.7751
17,Innovate Industries,Display,Women 35-44,45 Days,Website,0.08,"$5,478.00 ",4.53,Houston,English,931,2488,3,Fashionistas,1/17/2021,37.4196
18,Alpha Innovations,Influencer,Men 18-24,15 Days,Instagram,0.14,"$9,485.00 ",4.48,Miami,French,218,9264,9,Health & Wellness,1/18/2021,2.3532
19,Alpha Innovations,Social Media,Men 25-34,60 Days,Google Ads,0.07,"$19,224.00 ",6.08,New York,French,182,5798,1,Foodies,1/19/2021,3.139
20,Datatech Solutions,Influencer,Men 25-34,15 Days,Google Ads,0.09,"$10,258.00 ",3.83,Miami,French,193,3677,1,Tech Enthusiasts,1/20/2021,5.2488
